"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1ccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)cc1",1,129.2,"IC50"
"Brc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1",1,4.2,"IC50"
"Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1",1,560.0,"IC50"
"Brc1ccc2nnc(Cc3ccc4ncccc4c3)n2c1",1,49.0,"Ki, Ki"
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CCN(C)C(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl",1,484.0,"IC50"
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl",1,27.5,"IC50, IC50"
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0,,
"C#Cc1c(Oc2ccc(-n3cc(C(=O)NCc4ccc(F)cc4)ccc3=O)cc2F)ccnc1N",1,460.0,"IC50"
"C#Cc1c(Oc2ccc(NC(=O)NC(=O)Cc3ccc(F)cc3)cc2F)ccnc1N",1,2.0,"IC50, IC50"
"C#Cc1c(Oc2ccc(NC(=O)c3cccn(-c4ccc(F)cc4)c3=O)cc2F)ccnc1N",1,1.0,"IC50, IC50"
"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1",1,2500.0,"Kd, Kd, Ki, Kd, Kd"
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C(=N\O)c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1",1,3.8,"IC50, IC50"
"C/C(=N\O)c1ccc2nnc(Sc3ccc4ncc(CN5CCOCC5)cc4c3)n2c1",1,83.0,"IC50, IC50"
"C/C(=N\O)c1ccc2nnc(Sc3ccc4ncc(N5CC[C@H](N(C)C)C5)cc4c3)n2c1",1,6.0,"IC50, IC50"
"C/C(=N\O)c1ccc2nnc(Sc3ccc4ncc(NC5CCOCC5)cc4c3)n2c1",1,8.0,"IC50, IC50"
"C/C(=N\OC(C)(C)CO)c1cnc2nnn(Cc3cc4cccnc4cc3F)c2n1",1,46.0,"IC50, IC50"
"C/C(=N\OC(C)(C)CO)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1",1,127.0,"IC50, IC50"
"C/C(=N\OC(C)CO)c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1",1,29.0,"IC50, IC50"
"C/C(=N\OC(CO)CO)c1ccc2ncc(Cc3ccc4ncccc4c3)n2n1",1,59.0,"IC50, IC50"
"C/C(=N\OC(CO)CO)c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1",1,34.0,"IC50, IC50"
"C/C(=N\OC(CO)CO)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1",1,20.0,"IC50, IC50"
"C/C(=N\OC(N)=O)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1",1,20.0,"IC50, IC50"
"C/C(=N\OC1CCNCC1)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1",1,360.0,"IC50, IC50"
